arm,dataset,subject_id,shared_pairs,full_kills,ablation_kills
no_OS,Patch,rcx_reentrancy__address_00026__sGuard,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00004__SmartFix,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00007__SmartFix,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00007__TIPS,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00007__sGuard,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00011__SmartFix,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00012__SmartFix,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00012__TIPS,1,1,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00012__sGuard,1,1,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00012__sGuardPlus,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00018__TIPS,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00018__sGuard,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00020__SmartFix,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00020__TIPS,1,1,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00020__sGuard,1,1,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00020__sGuardPlus,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00024__TIPS,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00024__sGuard,1,0,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00027__TIPS,1,1,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00027__sGuard,1,1,0
no_OS,Patch,rcx_unchecked_low_level_calls__address_00027__sGuardPlus,1,1,0
no_OS,Patch,reprod_DCFToken,1,0,0
no_RR,Peer,peer_ccsolbmc__AIRBets,14,4,4
no_RR,Peer,peer_ccsolbmc__Animalia,468,27,9
no_RR,Peer,peer_ccsolbmc__AnyswapV5ERC20,292,44,8
no_RR,Peer,peer_ccsolbmc__AssetTransfer,593,78,15
no_RR,Peer,peer_ccsolbmc__Ballot,2,2,0
no_RR,Peer,peer_ccsolbmc__Benu,18,18,18
no_RR,Peer,peer_ccsolbmc__ChinaCoin,14,1,1
no_RR,Peer,peer_ccsolbmc__CyberFox,6,6,6
no_RR,Peer,peer_ccsolbmc__DogeMojo,2,2,2
no_RR,Peer,peer_ccsolbmc__DogeRocket,6,6,6
no_RR,Peer,peer_ccsolbmc__ERC20,5,5,5
no_RR,Peer,peer_ccsolbmc__EStack,4,4,4
no_RR,Peer,peer_ccsolbmc__GOLIATH,10,10,10
no_RR,Peer,peer_ccsolbmc__Galaxium,5,5,5
no_RR,Peer,peer_ccsolbmc__HOTDOGE,321,23,16
no_RR,Peer,peer_ccsolbmc__KOALA,278,20,14
no_RR,Peer,peer_ccsolbmc__KizunaInu,21,5,5
no_RR,Peer,peer_ccsolbmc__Kyuseishu,4,4,4
no_RR,Peer,peer_ccsolbmc__LILY,4,4,4
no_RR,Peer,peer_ccsolbmc__Lunar,277,40,31
no_RR,Peer,peer_ccsolbmc__MJCoin_Token,8,8,8
no_RR,Peer,peer_ccsolbmc__MayoOcho,5,5,5
no_RR,Peer,peer_ccsolbmc__MiraNft,6,6,6
no_RR,Peer,peer_ccsolbmc__PONY,278,13,5
no_RR,Peer,peer_ccsolbmc__PORCUPINE,278,21,14
no_RR,Peer,peer_ccsolbmc__PROGEV2,40,6,6
no_RR,Peer,peer_ccsolbmc__PipiCoin,11,11,11
no_RR,Peer,peer_ccsolbmc__RBC,14,14,14
no_RR,Peer,peer_ccsolbmc__RIAS,198,19,13
no_RR,Peer,peer_ccsolbmc__RefrigeratedTransportation,13,7,3
no_RR,Peer,peer_ccsolbmc__RoomThermostat,2,2,2
no_RR,Peer,peer_ccsolbmc__SATURNITE,8,1,1
no_RR,Peer,peer_ccsolbmc__SOTH,9,0,0
no_RR,Peer,peer_ccsolbmc__ShibaAstronaut,2,2,2
no_RR,Peer,peer_ccsolbmc__ShibaSamurai,303,22,14
no_RR,Peer,peer_ccsolbmc__SimpleECR20,19,19,19
no_RR,Peer,peer_ccsolbmc__SimpleMarketplace,4,4,0
no_RR,Peer,peer_ccsolbmc__TESTDONTBUY,7,1,1
no_RR,Peer,peer_ccsolbmc__TOAD,277,21,14
no_RR,Peer,peer_ccsolbmc__Thicc,7,7,7
no_RR,Peer,peer_ccsolbmc__Token,2,2,2
no_RR,Peer,peer_ccsolbmc__TokenVesting,6,4,4
no_RR,Peer,peer_ccsolbmc__VamprireDoge,2,2,2
no_RR,Peer,peer_ccsolbmc__WickedCraniums,3,3,3
no_RR,Peer,peer_ccsolbmc__eMastiff,18,1,1
no_RR,Peer,peer_ccsolbmc__eMuppy,18,18,18
no_RR,Peer,peer_ccsolbmc__eNew,274,24,15
no_RR,Peer,peer_ccsolbmc__goldinu,7,7,0
no_RR,Peer,peer_ccsolbmc__wLitiSale,196,4,4
no_RR,Peer,peer_solar__BasicToken,15,8,3
no_RR,Peer,peer_solar__DateTime,360,125,94
no_RR,Peer,peer_solar__DosAuction,3,3,3
no_RR,Peer,peer_solar__EasyPayAndWithDraw,4,4,4
no_RR,Peer,peer_solar__EtherBank,3,3,0
no_RR,Peer,peer_solar__FundRaising,5,2,2
no_RR,Peer,peer_solar__Gift_1_ETH,14,14,4
no_RR,Peer,peer_solar__GuardCheck,17,10,7
no_RR,Peer,peer_solar__Identity,89,26,24
no_RR,Peer,peer_solar__IdentityManager,3,3,3
no_RR,Peer,peer_solar__Randomness,33,3,3
no_RR,Peer,peer_solar__Reentrance,7,7,0
no_RR,Peer,peer_solar__Rubixi,6,6,6
no_RR,Peer,peer_solar__SecureAuction,29,8,6
no_RR,Peer,peer_solar__TestDateTime,640,95,42
no_RR,Peer,peer_solar__array-utils,11,11,11
no_RR,Peer,peer_solar__theRun,10,10,10
no_RR,Peer,peer_soltg__Math,70,57,57
no_RR,Peer,peer_soltg__branches_assert_condition_2,33,33,24
no_RR,Peer,peer_soltg__branches_merge_variables_3,7,7,7
no_RR,Peer,peer_soltg__branches_merge_variables_5,18,8,8
no_RR,Peer,peer_soltg__branches_merge_variables_6,6,6,6
no_RR,Peer,peer_soltg__constructor_1,33,7,7
no_RR,Peer,peer_soltg__constructor_2_fun_overloading,38,17,17
no_RR,Peer,peer_soltg__constructor_3,12,12,12
no_RR,Peer,peer_soltg__constructor_3_m,11,11,11
no_RR,Peer,peer_soltg__constructor_5,36,15,15
no_RR,Peer,peer_soltg__constructor_8,12,12,12
no_RR,Peer,peer_soltg__constructor_9,7,7,7
no_RR,Peer,peer_soltg__do_while_1_fail,10,10,5
no_RR,Peer,peer_soltg__exampl,10,8,3
no_RR,Peer,peer_soltg__for_1_break,15,15,13
no_RR,Peer,peer_soltg__for_1_break_fail,13,13,13
no_RR,Peer,peer_soltg__for_1_continue,10,10,6
no_RR,Peer,peer_soltg__loop_basic,10,10,10
no_RR,Peer,peer_soltg__loop_if,41,31,29
no_RR,Peer,peer_soltg__many_fun,27,27,19
no_RR,Peer,peer_soltg__overloading,24,11,11
no_RR,Peer,peer_soltg__return_1,73,48,47
no_RR,Peer,peer_soltg__revert_complex_flow,6,6,6
no_RR,Peer,peer_soltg__seq_calls,9,9,9
no_RR,Peer,peer_soltg__short_circuit_and,13,13,13
no_RR,Peer,peer_soltg__short_circuit_or_inside_branch,19,19,19
no_RR,Peer,peer_soltg__simple_if,16,16,11
no_RR,Peer,peer_soltg__simple_if_2,31,31,26
no_RR,Peer,peer_soltg__store,5,5,5
no_RR,Peer,peer_soltg__store_state,18,5,2
no_RR,Peer,peer_soltg__while_1,13,13,9
no_RR,Peer,peer_soltg__while_1_continue,14,14,12
no_RR,Peer,peer_soltg__while_1_continue_fail,25,18,12
no_RR,Peer,peer_soltg__while_2,10,10,10
no_RR,Peer,peer_soltg__while_nested_break,33,33,31
no_RR,Peer,peer_soltg__while_nested_continue,12,12,12
no_RR,Peer,peer_syntest__AavePoolReward,219,24,14
no_RR,Peer,peer_syntest__Baz,1,1,1
no_RR,Peer,peer_syntest__Core_Fi_V3,2,1,1
no_RR,Peer,peer_syntest__CryptoSecureBankToken,3,3,3
no_RR,Peer,peer_syntest__DJCoin,1,1,1
no_RR,Peer,peer_syntest__EdenCoin,7,6,3
no_RR,Peer,peer_syntest__FreakCoin,3,2,0
no_RR,Peer,peer_syntest__GAZ_ERC20,26,0,0
no_RR,Peer,peer_syntest__MetaCoin,37,6,0
no_RR,Peer,peer_syntest__Rootkit_finance,15,5,5
no_RR,Peer,peer_syntest__SLTDETHlpReward,215,24,21
no_RR,Peer,peer_syntest__Straight_Fire_Finance,2,2,2
no_RR,Peer,peer_syntest__TetherToken,1,1,1
no_RR,Peer,peer_syntest__ThriftToken,26,26,8
no_RC,Peer,peer_ccsolbmc__AIRBets,239,19,13
no_RC,Peer,peer_ccsolbmc__Address,314,11,3
no_RC,Peer,peer_ccsolbmc__Animalia,468,27,9
no_RC,Peer,peer_ccsolbmc__AnyswapV5ERC20,292,44,7
no_RC,Peer,peer_ccsolbmc__AssetTransfer,593,78,60
no_RC,Peer,peer_ccsolbmc__BERNIE,340,22,3
no_RC,Peer,peer_ccsolbmc__Ballot,54,15,0
no_RC,Peer,peer_ccsolbmc__BasicProvenance,47,22,6
no_RC,Peer,peer_ccsolbmc__Benu,119,20,20
no_RC,Peer,peer_ccsolbmc__BurnableERC20,104,7,7
no_RC,Peer,peer_ccsolbmc__COINNetwork,315,3,3
no_RC,Peer,peer_ccsolbmc__ChinaCoin,276,7,7
no_RC,Peer,peer_ccsolbmc__CyberFox,181,26,19
no_RC,Peer,peer_ccsolbmc__DigitalLocker,120,40,38
no_RC,Peer,peer_ccsolbmc__DogeMojo,41,7,4
no_RC,Peer,peer_ccsolbmc__DogeRocket,298,15,14
